codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.1.3.03.1.1.01.03.00.00.000;02;0201;7.213,65;5.361,56;5.298,88;5.264,83;5.264,34;5.499,59;5.351,22;5.320,07;5.570,35;5.389,51;5.220,92;10.461,35;12.922,84;12.922,84;12.922,84;12.922,84;12.922,84;19.384,31;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.00.00.00.000;02;0201;5.122,16;3.180,85;2.606,81;5.002,04;2.690,92;2.438,04;2.453,53;2.857,72;2.660,90;2.690,91;2.941,81;5.739,16;6.321,68;6.321,68;6.321,68;6.321,68;6.321,68;9.482,48;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.01.00.00.000;02;0201;3.073,30;1.908,51;1.564,09;3.001,22;1.614,55;1.462,82;1.472,12;1.714,63;1.596,53;1.614,54;1.765,09;3.443,48;3.793,00;3.793,00;3.793,00;3.793,00;3.793,00;5.689,53;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.02.00.00.000;02;0201;1.280,54;795,21;651,70;1.250,51;672,73;609,51;613,38;714,43;665,23;672,73;735,45;1.434,80;1.580,42;1.580,42;1.580,42;1.580,42;1.580,42;2.370,62;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.02.03.00.00.000;02;0201;768,32;477,13;391,02;750,31;403,64;365,71;368,03;428,66;399,14;403,64;441,27;860,88;948,26;948,26;948,26;948,26;948,26;1.422,33;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.00.00.00.000;02;0201;5.736,35;4.787,45;10.436,01;5.424,36;5.949,41;5.949,41;5.949,41;5.949,41;5.949,41;7.579,11;7.253,67;14.104,58;8.712,78;8.712,78;8.712,78;8.712,78;8.712,78;13.069,11;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.01.00.00.000;02;0201;3.441,81;2.872,47;6.261,61;3.254,62;3.569,65;3.569,65;3.569,65;3.569,65;3.569,65;4.547,46;4.352,20;8.462,74;5.227,66;5.227,66;5.227,66;5.227,66;5.227,66;7.841,51;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.02.00.00.000;02;0201;1.434,09;1.196,86;2.609,00;1.356,09;1.487,35;1.487,35;1.487,35;1.487,35;1.487,35;1.894,78;1.813,42;3.526,15;2.178,20;2.178,20;2.178,20;2.178,20;2.178,20;3.267,25;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.1.1.03.03.00.00.000;02;0201;860,45;718,12;1.565,40;813,65;892,41;892,41;892,41;892,41;892,41;1.136,87;1.088,05;2.115,69;1.306,92;1.306,92;1.306,92;1.306,92;1.306,92;1.960,35;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.0.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;25.098,53;0,00;4.399,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;25.098,53;0,00;4.399,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;25.098,53;0,00;4.399,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.01.00.00.000;02;0201;0,00;0,00;0,00;0,00;15.059,12;0,00;2.639,51;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.02.00.00.000;02;0201;0,00;0,00;0,00;0,00;6.274,63;0,00;1.099,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.3.03.4.1.01.03.00.00.000;02;0201;0,00;0,00;0,00;0,00;3.764,78;0,00;659,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.00.0.0.00.00.00.00.000;02;0201;163.235,43;67.299,78;105.938,39;149.716,74;203.234,77;704.906,18;171.666,86;64.852,85;139.717,17;54.664,72;121.724,63;68.641,86;236.275,88;321.748,74;525.572,97;520.362,03;254.965,48;263.941,60;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.0.0.00.00.00.00.000;02;0201;135.484,15;44.137,73;77.728,02;119.351,76;171.211,75;678.293,86;146.008,45;36.569,58;97.656,90;21.057,65;90.768,05;32.508,57;182.497,12;267.969,98;471.794,21;466.583,27;201.186,72;210.162,88;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.0.00.00.00.00.000;02;0201;5.164,15;7.102,73;46.129,02;57.656,76;95.574,75;226.833,54;28.339,45;12.051,58;10.713,90;8.217,65;3.726,05;11.058,57;15.830,46;101.303,32;305.127,55;32.916,61;34.520,06;43.496,18;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.1.00.00.00.00.000;02;0201;0,00;0,00;32.711,61;47.350,07;88.005,28;216.209,09;11.221,90;5.455,12;3.520,15;1.333,01;692,05;3.567,42;893,28;86.366,14;290.168,48;17.840,95;19.405,38;28.348,38;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.1.01.00.00.00.000;02;0201;0,00;0,00;19.626,71;28.409,80;52.802,68;129.724,11;6.733,08;3.272,97;2.112,07;799,80;415,24;2.140,43;535,96;51.819,69;174.101,09;10.704,57;11.643,23;17.009,03;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.1.02.00.00.00.000;02;0201;0,00;0,00;8.178,10;11.837,71;22.001,75;54.053,26;2.805,54;1.363,85;880,05;333,26;173,01;891,89;223,32;21.591,53;72.542,12;4.460,24;4.851,35;7.087,09;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.1.03.00.00.00.000;02;0201;0,00;0,00;4.906,80;7.102,56;13.200,85;32.431,72;1.683,28;818,30;528,03;199,95;103,80;535,10;134,00;12.954,92;43.525,27;2.676,14;2.910,80;4.252,26;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.2.00.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;111,08;947,68;509,87;527,53;215,57;122,24;669,95;518,08;518,08;539,97;656,56;695,58;728,71;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.2.01.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;66,60;568,58;305,88;316,49;129,34;73,33;401,96;365,70;365,70;365,70;365,70;365,70;365,68;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.2.02.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;27,79;236,97;127,50;131,90;53,89;30,57;167,50;152,38;152,38;152,38;152,38;152,38;152,35;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.2.03.00.00.00.000;02;0201;0,00;0,00;0,00;0,00;0,00;16,69;142,13;76,49;79,14;32,34;18,34;100,49;0,00;0,00;21,89;138,48;177,50;210,68;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.00.00.00.00.000;02;0201;4.204,41;5.467,47;9.965,63;7.548,65;6.001,41;8.192,00;10.716,94;5.141,98;5.279,31;4.807,43;2.463,06;5.426,87;10.608,02;10.608,02;10.608,02;10.608,02;10.608,02;10.608,03;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.01.00.00.00.000;02;0201;2.522,59;3.280,33;5.979,25;4.529,09;3.600,76;4.915,09;6.429,99;3.085,07;3.167,48;2.884,35;1.477,77;3.255,97;6.364,82;6.364,82;6.364,82;6.364,82;6.364,82;6.364,78;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.02.00.00.00.000;02;0201;1.051,16;1.366,97;2.491,53;1.887,21;1.500,45;2.048,08;2.679,35;1.285,58;1.319,90;1.201,94;615,80;1.356,83;2.652,00;2.652,00;2.652,00;2.652,00;2.652,00;2.652,03;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.3.03.00.00.00.000;02;0201;630,66;820,17;1.494,85;1.132,35;900,20;1.228,83;1.607,60;771,33;791,93;721,14;369,49;814,07;1.591,20;1.591,20;1.591,20;1.591,20;1.591,20;1.591,22;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.00.00.00.00.000;02;0201;959,74;1.635,26;3.451,78;2.758,04;1.568,06;2.321,37;5.452,93;944,61;1.386,91;1.861,64;448,70;1.394,33;3.811,08;3.811,08;3.811,08;3.811,08;3.811,08;3.811,06;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.01.00.00.00.000;02;0201;575,83;981,10;2.071,00;1.654,78;940,75;1.392,81;3.271,73;566,71;832,09;1.116,90;269,19;836,55;2.286,64;2.286,64;2.286,64;2.286,64;2.286,64;2.286,67;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.02.00.00.00.000;02;0201;239,97;408,87;863,00;689,54;392,09;580,36;1.363,26;236,21;346,76;465,46;112,21;348,64;952,78;952,78;952,78;952,78;952,78;952,72;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.1.4.03.00.00.00.000;02;0201;143,94;245,29;517,78;413,72;235,22;348,20;817,94;141,69;208,06;279,28;67,30;209,14;571,66;571,66;571,66;571,66;571,66;571,67;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.0.00.00.00.00.000;02;0201;130.320,00;37.035,00;31.599,00;61.695,00;75.637,00;451.460,32;117.669,00;24.518,00;86.943,00;12.840,00;87.042,00;21.450,00;166.666,66;166.666,66;166.666,66;433.666,66;166.666,66;166.666,70;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.00.00.00.00.000;02;0201;130.320,00;37.035,00;31.599,00;61.695,00;75.637,00;451.460,32;117.669,00;24.518,00;86.943,00;12.840,00;87.042,00;21.450,00;166.666,66;166.666,66;166.666,66;433.666,66;166.666,66;166.666,70;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.01.00.00.00.000;02;0201;78.192,00;22.221,00;18.959,40;37.017,00;45.382,20;270.876,19;70.601,40;14.710,80;52.165,80;7.704,00;52.225,20;12.870,00;100.000,00;100.000,00;100.000,00;367.000,00;100.000,00;100.000,00;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.02.00.00.00.000;02;0201;32.580,00;9.258,75;7.899,75;15.423,75;18.909,25;112.865,08;29.417,25;6.129,50;21.735,75;3.210,00;21.760,50;5.362,50;41.666,66;41.666,66;41.666,66;41.666,66;41.666,66;41.666,70;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.01.4.1.03.00.00.00.000;02;0201;19.548,00;5.555,25;4.739,85;9.254,25;11.345,55;67.719,05;17.650,35;3.677,70;13.041,45;1.926,00;13.056,30;3.217,50;25.000,00;25.000,00;25.000,00;25.000,00;25.000,00;25.000,00;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.0.0.00.00.00.00.000;02;0201;27.751,28;23.162,05;28.210,37;30.364,98;32.023,02;26.612,32;25.658,41;28.283,27;42.060,27;33.607,07;30.956,58;36.133,29;53.778,76;53.778,76;53.778,76;53.778,76;53.778,76;53.778,72;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.0.00.00.00.00.000;02;0201;27.751,28;23.162,05;28.210,37;30.364,98;32.023,02;26.612,32;25.658,41;28.283,27;42.060,27;33.607,07;30.956,58;36.133,29;53.778,76;53.778,76;53.778,76;53.778,76;53.778,76;53.778,72;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.00.00.00.00.000;02;0201;27.175,13;22.843,71;28.095,85;30.252,03;31.532,80;26.353,65;25.523,62;28.204,37;41.877,16;32.797,79;30.854,56;35.516,65;53.166,38;53.166,38;53.166,38;53.166,38;53.166,38;53.166,38;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.01.00.00.00.000;02;0201;16.305,06;13.706,20;16.857,46;18.151,16;18.919,60;15.812,14;15.314,05;16.922,52;25.126,24;19.678,53;18.512,65;21.309,81;31.899,82;31.899,82;31.899,82;31.899,82;31.899,82;31.899,87;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.02.00.00.00.000;02;0201;6.793,80;5.710,95;7.024,01;7.563,06;7.883,27;6.588,45;6.381,02;7.051,16;10.469,33;8.199,53;7.713,70;8.879,29;13.291,60;13.291,60;13.291,60;13.291,60;13.291,60;13.291,57;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.1.03.00.00.00.000;02;0201;4.076,27;3.426,56;4.214,38;4.537,81;4.729,93;3.953,06;3.828,55;4.230,69;6.281,59;4.919,73;4.628,21;5.327,55;7.974,96;7.974,96;7.974,96;7.974,96;7.974,96;7.974,94;000;0040;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.2.00.00.00.00.000;02;0201;576,15;318,34;114,52;112,95;335,13;148,67;134,79;78,90;125,02;181,39;102,02;190,54;553,02;553,02;553,02;553,02;553,02;552,98;000;0000;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.2.01.00.00.00.000;02;0201;345,68;191,00;68,71;67,77;201,08;89,20;80,87;47,33;75,01;108,82;61,21;114,31;331,80;331,80;331,80;331,80;331,80;331,85;000;0001;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
4.1.1.1.8.02.3.2.02.00.00.00.000;02;0201;144,04;79,59;28,63;28,24;83,78;37,17;33,70;19,73;31,26;45,36;25,51;47,64;138,26;138,26;138,26;138,26;138,26;138,22;000;0020;;;;2019-01-01;2019-12-31;2020-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"Z:/Abase/ARQUIVOSPAD\2019\MES12\RECEITA.TXT"
